"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Município";"2013";;;;;"2014";;;;;"2015"
"Nível";"Cód.";"Município";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"MU";"1302603";"Manaus (AM)";"-";"-";"-";"4";"-";"-";"-";"-";"50";"-";"-";"-";"-";"10";"-"
"MU";"1302702";"Manicoré (AM)";"-";"-";"51";"1050";"-";"-";"-";"2";"-";"-";"-";"-";"2";"-";"-"
"MU";"1302801";"Maraã (AM)";"-";"-";"-";"25";"-";"-";"-";"-";"100";"-";"-";"-";"-";"100";"-"
"MU";"1302900";"Maués (AM)";"-";"-";"50";"100";"-";"-";"-";"64";"220";"-";"-";"-";"30";"80";"-"
"MU";"1303007";"Nhamundá (AM)";"-";"-";"20";"250";"-";"-";"-";"18";"90";"-";"-";"-";"12";"35";"-"
"MU";"1303106";"Nova Olinda do Norte (AM)";"-";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-";"-";"80";"-"
"MU";"1303205";"Novo Airão (AM)";"-";"-";"5";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1303304";"Novo Aripuanã (AM)";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1303403";"Parintins (AM)";"-";"-";"60";"120";"-";"-";"-";"22";"90";"-";"-";"-";"18";"140";"-"
"MU";"1303502";"Pauini (AM)";"-";"-";"-";"12";"-";"-";"-";"-";"125";"-";"-";"-";"-";"37";"-"
"MU";"1303536";"Presidente Figueiredo (AM)";"-";"-";"3695";"115";"-";"-";"-";"4200";"129";"-";"-";"-";"3440";"130";"-"
"MU";"1303569";"Rio Preto da Eva (AM)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-"
"MU";"1303601";"Santa Isabel do Rio Negro (AM)";"-";"-";"-";"62";"-";"-";"-";"-";"815";"-";"-";"-";"-";"710";"-"
"MU";"1303700";"Santo Antônio do Içá (AM)";"-";"-";"4";"100";"-";"-";"-";"3";"100";"-";"-";"-";"4";"80";"-"
"MU";"1303809";"São Gabriel da Cachoeira (AM)";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-"
"MU";"1303908";"São Paulo de Olivença (AM)";"-";"-";"3";"210";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1303957";"São Sebastião do Uatumã (AM)";"-";"-";"-";"7";"-";"-";"-";"-";"18";"-";"-";"-";"-";"42";"-"
"MU";"1304005";"Silves (AM)";"-";"-";"-";"10";"-";"-";"-";"-";"35";"-";"-";"-";"-";"-";"-"
"MU";"1304062";"Tabatinga (AM)";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"MU";"1304104";"Tapauá (AM)";"-";"-";"8";"200";"-";"-";"-";"-";"370";"-";"-";"-";"-";"270";"-"
"MU";"1304203";"Tefé (AM)";"-";"-";"14";"40";"-";"-";"-";"10";"40";"-";"-";"-";"31";"28";"-"
"MU";"1304237";"Tonantins (AM)";"-";"-";"-";"125";"-";"-";"-";"-";"100";"-";"-";"-";"2";"8";"-"
"MU";"1304260";"Uarini (AM)";"-";"-";"-";"8";"-";"-";"-";"-";"5";"-";"-";"-";"-";"5";"-"
"MU";"1304302";"Urucará (AM)";"-";"-";"-";"100";"-";"-";"-";"-";"60";"-";"-";"-";"-";"10";"-"
"MU";"1304401";"Urucurituba (AM)";"-";"-";"-";"50";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-"
"MU";"1400027";"Amajari (RR)";"-";"-";"10";"350";"-";"-";"-";"20";"80";"-";"-";"-";"10";"120";"150"
"MU";"1400050";"Alto Alegre (RR)";"-";"-";"75";"1100";"7500";"-";"-";"75";"1100";"5002";"-";"-";"15";"600";"9520"
"MU";"1400100";"Boa Vista (RR)";"-";"-";"100";"600";"1100";"-";"-";"90";"600";"5632";"-";"900";"90";"100";"8305"
"MU";"1400159";"Bonfim (RR)";"-";"-";"-";"1100";"5800";"-";"-";"-";"1125";"4866";"-";"-";"-";"1500";"4630"
"MU";"1400175";"Cantá (RR)";"-";"-";"10";"120";"500";"-";"-";"10";"120";"500";"-";"-";"5";"120";"670"
"MU";"1400209";"Caracaraí (RR)";"-";"-";"1";"156";"-";"-";"-";"1";"156";"-";"-";"-";"-";"187";"-"
"MU";"1400233";"Caroebe (RR)";"-";"-";"30";"400";"-";"-";"-";"30";"400";"-";"-";"-";"20";"-";"-"
"MU";"1400282";"Iracema (RR)";"-";"-";"3";"600";"-";"-";"-";"3";"600";"-";"-";"-";"3";"600";"95"
"MU";"1400308";"Mucajaí (RR)";"-";"-";"90";"600";"-";"-";"-";"10";"700";"-";"-";"-";"5";"200";"450"
"MU";"1400407";"Normandia (RR)";"-";"-";"10";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-"
"MU";"1400456";"Pacaraima (RR)";"-";"-";"15";"100";"-";"-";"-";"2";"300";"-";"-";"-";"2";"150";"-"
"MU";"1400472";"Rorainópolis (RR)";"-";"-";"100";"600";"-";"-";"-";"100";"600";"-";"-";"-";"100";"1200";"-"
"MU";"1400506";"São João da Baliza (RR)";"-";"-";"20";"100";"-";"-";"-";"20";"100";"-";"-";"-";"20";"100";"-"
"MU";"1400605";"São Luiz (RR)";"-";"-";"10";"30";"-";"-";"-";"10";"-";"-";"-";"-";"10";"40";"-"
"MU";"1400704";"Uiramutã (RR)";"-";"-";"1";"200";"-";"-";"-";"10";"300";"-";"-";"-";"10";"300";"-"
"MU";"1500107";"Abaetetuba (PA)";"-";"-";"100";"150";"-";"-";"-";"100";"120";"-";"-";"-";"100";"120";"-"
